Case                 Nodes            Edges              Metis           pLapMetis-Low         
cit-HepPh                34546             147177           59764           {7264 (85.0)}  
p2p-Gnutella25	         22687	            30751	        13388	        {5082 (62.2)}  
p2p-Gnutella30           36682              48507           21059          {10221 (50.1)}  
p2p-Gnutella31           62586              76950           31860           {3284 (90.4)}  
amazon0312              400727            1049624           19138          {13188 (32.3)}  
amazon0505              410236            1140454           19097          {13042 (36.3)}  
amazon0601              403394            1140070           17084          {10765 (41.5)}  
web-NotreDame           325729             761089          130381          {60421 (48.8)}  
web-Stanford            281903            1181129           98799          {54316 (38.8)}  
web-Google              916428            2684491          311771         {105979 (65.1)}  
web-BerkStan            685230            3860581          244586         {153997 (76.8)}  
